iter 283: loss 1.9542, time 3132.25ms, mfu 0.04%
iter 284: loss 1.9281, time 3112.78ms, mfu 0.04%
iter 285: loss 1.9057, time 3118.44ms, mfu 0.04%
iter 286: loss 1.9111, time 3068.03ms, mfu 0.04%
iter 287: loss 1.9285, time 3115.26ms, mfu 0.04%
iter 288: loss 1.8990, time 3159.02ms, mfu 0.04%
iter 289: loss 1.9525, time 3123.62ms, mfu 0.04%
iter 290: loss 1.8526, time 3121.96ms, mfu 0.04%
iter 291: loss 1.9617, time 3056.75ms, mfu 0.04%
iter 292: loss 1.8645, time 3092.13ms, mfu 0.04%
iter 293: loss 1.8682, time 3071.42ms, mfu 0.04%
iter 294: loss 1.8477, time 3056.92ms, mfu 0.04%
iter 295: loss 1.9048, time 3052.36ms, mfu 0.04%
iter 296: loss 1.9105, time 3108.98ms, mfu 0.04%
iter 297: loss 1.8718, time 3054.23ms, mfu 0.04%
iter 298: loss 1.8553, time 3084.88ms, mfu 0.04%
iter 299: loss 1.8761, time 3095.88ms, mfu 0.04%
iter 300: loss 1.8187, time 3106.47ms, mfu 0.04%
iter 301: loss 1.8763, time 3094.43ms, mfu 0.04%
iter 302: loss 1.8613, time 3078.71ms, mfu 0.04%
iter 303: loss 1.8617, time 3047.92ms, mfu 0.04%
iter 304: loss 1.8960, time 3074.82ms, mfu 0.04%
iter 305: loss 1.8480, time 3053.62ms, mfu 0.04%
iter 306: loss 1.8573, time 3099.37ms, mfu 0.04%
iter 307: loss 1.9233, time 3059.44ms, mfu 0.04%
iter 308: loss 1.8535, time 3075.41ms, mfu 0.04%
iter 309: loss 1.8408, time 3088.00ms, mfu 0.04%
iter 310: loss 1.8887, time 3037.62ms, mfu 0.04%
iter 311: loss 1.8475, time 3061.32ms, mfu 0.04%
iter 312: loss 1.9184, time 3083.63ms, mfu 0.04%
iter 313: loss 1.8833, time 3077.94ms, mfu 0.04%
iter 314: loss 1.8119, time 3081.00ms, mfu 0.04%
