C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTswiGLUV2\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 6
Overriding: n_head = 6
Overriding: n_embd = 192
Overriding: max_iters = 4000
Overriding: lr_decay_iters = 4000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 2.67M
num decayed parameter tensors: 26, with 2,691,264 parameters
num non-decayed parameter tensors: 13, with 2,496 parameters
iter 987: loss 1.4310, time 1007.94ms, mfu 0.01%
iter 988: loss 1.4893, time 1007.61ms, mfu 0.01%
iter 989: loss 1.4614, time 1007.06ms, mfu 0.01%
iter 990: loss 1.4798, time 1025.15ms, mfu 0.01%
iter 991: loss 1.5007, time 1000.66ms, mfu 0.01%
iter 992: loss 1.4291, time 1118.96ms, mfu 0.01%
iter 993: loss 1.4399, time 1025.99ms, mfu 0.01%
iter 994: loss 1.4819, time 752.98ms, mfu 0.02%
iter 995: loss 1.4363, time 513.96ms, mfu 0.02%
iter 996: loss 1.4494, time 518.88ms, mfu 0.02%
iter 997: loss 1.5252, time 1401.45ms, mfu 0.02%
iter 998: loss 1.4381, time 1571.77ms, mfu 0.02%
iter 999: loss 1.4385, time 1749.20ms, mfu 0.02%
step 1000: train loss 1.4686, val loss 1.6643
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.4457, time 88491.72ms, mfu 0.02%
iter 1001: loss 1.4468, time 1007.73ms, mfu 0.02%
iter 1002: loss 1.4829, time 1007.38ms, mfu 0.02%
iter 1003: loss 1.4570, time 1007.78ms, mfu 0.02%
iter 1004: loss 1.5174, time 1022.98ms, mfu 0.02%
iter 1005: loss 1.5068, time 1009.43ms, mfu 0.02%
iter 1006: loss 1.4264, time 1009.80ms, mfu 0.02%
iter 1007: loss 1.4356, time 1024.30ms, mfu 0.02%
iter 1008: loss 1.5676, time 1025.11ms, mfu 0.02%
iter 1009: loss 1.5165, time 1008.22ms, mfu 0.02%
iter 1010: loss 1.5229, time 1026.08ms, mfu 0.02%
iter 1011: loss 1.4739, time 1072.05ms, mfu 0.02%
iter 1012: loss 1.5194, time 1025.85ms, mfu 0.02%
iter 1013: loss 1.4738, time 1023.48ms, mfu 0.02%
iter 1014: loss 1.4495, time 1023.37ms, mfu 0.02%
iter 1015: loss 1.4417, time 1024.10ms, mfu 0.02%
iter 1016: loss 1.4589, time 1024.12ms, mfu 0.02%
iter 1017: loss 1.4215, time 1006.52ms, mfu 0.02%
iter 1018: loss 1.4509, time 1070.33ms, mfu 0.02%
iter 1019: loss 1.5227, time 1013.00ms, mfu 0.02%
iter 1020: loss 1.4565, time 1050.44ms, mfu 0.02%
iter 1021: loss 1.4571, time 1040.46ms, mfu 0.02%
iter 1022: loss 1.4677, time 1040.16ms, mfu 0.02%
iter 1023: loss 1.4377, time 1038.92ms, mfu 0.02%
iter 1024: loss 1.5142, time 1058.35ms, mfu 0.02%
iter 1025: loss 1.4785, time 1058.14ms, mfu 0.02%
iter 1026: loss 1.3906, time 1025.22ms, mfu 0.02%
iter 1027: loss 1.4759, time 1038.93ms, mfu 0.02%
iter 1028: loss 1.4341, time 1038.82ms, mfu 0.02%
iter 1029: loss 1.4478, time 1039.14ms, mfu 0.02%
iter 1030: loss 1.4339, time 1057.45ms, mfu 0.02%
iter 1031: loss 1.4459, time 1035.66ms, mfu 0.02%
iter 1032: loss 1.4664, time 1040.94ms, mfu 0.02%
iter 1033: loss 1.5714, time 1022.59ms, mfu 0.02%
iter 1034: loss 1.5078, time 1024.65ms, mfu 0.02%
iter 1035: loss 1.4683, time 1023.34ms, mfu 0.02%
iter 1036: loss 1.4117, time 1024.85ms, mfu 0.02%
iter 1037: loss 1.4461, time 1071.39ms, mfu 0.02%
iter 1038: loss 1.4861, time 1086.29ms, mfu 0.02%
iter 1039: loss 1.4164, time 1019.22ms, mfu 0.02%
iter 1040: loss 1.4576, time 1578.47ms, mfu 0.02%
iter 1041: loss 1.4378, time 1474.70ms, mfu 0.02%
iter 1042: loss 1.3472, time 1439.70ms, mfu 0.02%
iter 1043: loss 1.4484, time 1542.70ms, mfu 0.02%
iter 1044: loss 1.4844, time 1661.46ms, mfu 0.01%
iter 1045: loss 1.4548, time 1632.95ms, mfu 0.01%
iter 1046: loss 1.3903, time 1743.93ms, mfu 0.01%
iter 1047: loss 1.4633, time 1967.13ms, mfu 0.01%
iter 1048: loss 1.5241, time 1884.57ms, mfu 0.01%
iter 1049: loss 1.5131, time 1707.09ms, mfu 0.01%
iter 1050: loss 1.4713, time 1966.11ms, mfu 0.01%
iter 1051: loss 1.4266, time 1678.43ms, mfu 0.01%
iter 1052: loss 1.4641, time 1674.38ms, mfu 0.01%
iter 1053: loss 1.4629, time 1592.70ms, mfu 0.01%
iter 1054: loss 1.5003, time 1835.72ms, mfu 0.01%
iter 1055: loss 1.5086, time 1510.48ms, mfu 0.01%
iter 1056: loss 1.4302, time 1634.55ms, mfu 0.01%
iter 1057: loss 1.3707, time 1021.54ms, mfu 0.01%
iter 1058: loss 1.4222, time 992.05ms, mfu 0.01%
iter 1059: loss 1.4924, time 1009.60ms, mfu 0.01%
iter 1060: loss 1.4737, time 1023.62ms, mfu 0.01%
iter 1061: loss 1.3581, time 1006.77ms, mfu 0.01%
iter 1062: loss 1.4096, time 1008.59ms, mfu 0.01%
iter 1063: loss 1.5109, time 1008.02ms, mfu 0.01%
iter 1064: loss 1.3747, time 1021.13ms, mfu 0.01%
iter 1065: loss 1.5155, time 1008.71ms, mfu 0.02%
iter 1066: loss 1.4031, time 1039.14ms, mfu 0.02%
iter 1067: loss 1.4695, time 1023.90ms, mfu 0.02%
iter 1068: loss 1.5125, time 1006.07ms, mfu 0.02%
iter 1069: loss 1.5238, time 1009.63ms, mfu 0.02%
iter 1070: loss 1.4666, time 1041.21ms, mfu 0.02%
iter 1071: loss 1.4813, time 1008.98ms, mfu 0.02%
iter 1072: loss 1.4176, time 1008.03ms, mfu 0.02%
iter 1073: loss 1.3582, time 1009.60ms, mfu 0.02%
iter 1074: loss 1.4067, time 1053.61ms, mfu 0.02%
iter 1075: loss 1.4677, time 1007.81ms, mfu 0.02%
iter 1076: loss 1.4823, time 1039.52ms, mfu 0.02%
iter 1077: loss 1.3942, time 1008.30ms, mfu 0.02%
iter 1078: loss 1.4538, time 1008.38ms, mfu 0.02%
iter 1079: loss 1.4301, time 1006.76ms, mfu 0.02%
iter 1080: loss 1.4604, time 1008.72ms, mfu 0.02%
iter 1081: loss 1.4720, time 1023.08ms, mfu 0.02%
iter 1082: loss 1.3887, time 1008.19ms, mfu 0.02%
iter 1083: loss 1.4819, time 1008.77ms, mfu 0.02%
iter 1084: loss 1.4155, time 1023.17ms, mfu 0.02%
iter 1085: loss 1.4312, time 1006.98ms, mfu 0.02%
iter 1086: loss 1.3800, time 1028.86ms, mfu 0.02%
iter 1087: loss 1.4617, time 1006.80ms, mfu 0.02%
iter 1088: loss 1.4254, time 1024.19ms, mfu 0.02%
iter 1089: loss 1.5338, time 1010.82ms, mfu 0.02%
iter 1090: loss 1.4491, time 1023.98ms, mfu 0.02%
iter 1091: loss 1.4381, time 1007.47ms, mfu 0.02%
iter 1092: loss 1.4903, time 1023.98ms, mfu 0.02%
iter 1093: loss 1.4140, time 1008.99ms, mfu 0.02%
iter 1094: loss 1.4040, time 1010.75ms, mfu 0.02%
iter 1095: loss 1.4627, time 1009.95ms, mfu 0.02%
iter 1096: loss 1.4853, time 994.61ms, mfu 0.02%
iter 1097: loss 1.4474, time 1024.83ms, mfu 0.02%
iter 1098: loss 1.4380, time 1008.29ms, mfu 0.02%
iter 1099: loss 1.3681, time 1006.54ms, mfu 0.02%
iter 1100: loss 1.3992, time 1008.76ms, mfu 0.02%
iter 1101: loss 1.4620, time 1022.84ms, mfu 0.02%
iter 1102: loss 1.4969, time 1009.75ms, mfu 0.02%
iter 1103: loss 1.4617, time 1041.83ms, mfu 0.02%
iter 1104: loss 1.5140, time 1025.31ms, mfu 0.02%
iter 1105: loss 1.4487, time 1008.36ms, mfu 0.02%
iter 1106: loss 1.4493, time 1008.77ms, mfu 0.02%
iter 1107: loss 1.4732, time 1008.47ms, mfu 0.02%
iter 1108: loss 1.4597, time 993.37ms, mfu 0.02%
iter 1109: loss 1.4646, time 1008.49ms, mfu 0.02%
iter 1110: loss 1.4291, time 1009.08ms, mfu 0.02%
iter 1111: loss 1.4689, time 1009.20ms, mfu 0.02%
iter 1112: loss 1.3843, time 1023.95ms, mfu 0.02%
iter 1113: loss 1.4364, time 1007.47ms, mfu 0.02%
iter 1114: loss 1.4520, time 1008.98ms, mfu 0.02%
iter 1115: loss 1.4354, time 993.97ms, mfu 0.02%
iter 1116: loss 1.4149, time 1025.07ms, mfu 0.02%
iter 1117: loss 1.4611, time 1009.00ms, mfu 0.02%
iter 1118: loss 1.4180, time 1039.33ms, mfu 0.02%
iter 1119: loss 1.4689, time 1038.39ms, mfu 0.02%
iter 1120: loss 1.4546, time 1009.31ms, mfu 0.02%
iter 1121: loss 1.3895, time 1007.88ms, mfu 0.02%
iter 1122: loss 1.3998, time 1024.85ms, mfu 0.02%
iter 1123: loss 1.4292, time 1025.99ms, mfu 0.02%
iter 1124: loss 1.3923, time 1038.84ms, mfu 0.02%
iter 1125: loss 1.4169, time 1038.36ms, mfu 0.02%
iter 1126: loss 1.3659, time 1023.54ms, mfu 0.02%
iter 1127: loss 1.5125, time 1023.57ms, mfu 0.02%
iter 1128: loss 1.4798, time 1026.10ms, mfu 0.02%
iter 1129: loss 1.4507, time 1024.71ms, mfu 0.02%
iter 1130: loss 1.4169, time 1025.62ms, mfu 0.02%
iter 1131: loss 1.4137, time 1039.66ms, mfu 0.02%
iter 1132: loss 1.4287, time 1024.95ms, mfu 0.02%
iter 1133: loss 1.4745, time 1024.65ms, mfu 0.02%
iter 1134: loss 1.4482, time 1023.70ms, mfu 0.02%
iter 1135: loss 1.4800, time 1024.44ms, mfu 0.02%
iter 1136: loss 1.4463, time 1024.96ms, mfu 0.02%
iter 1137: loss 1.4627, time 1008.47ms, mfu 0.02%
iter 1138: loss 1.4031, time 1023.78ms, mfu 0.02%
iter 1139: loss 1.3781, time 1007.75ms, mfu 0.02%
iter 1140: loss 1.4166, time 1023.51ms, mfu 0.02%
iter 1141: loss 1.3845, time 1055.19ms, mfu 0.02%
iter 1142: loss 1.4504, time 1041.37ms, mfu 0.02%
iter 1143: loss 1.4350, time 1055.86ms, mfu 0.02%
iter 1144: loss 1.4132, time 1055.05ms, mfu 0.02%
iter 1145: loss 1.3820, time 1006.46ms, mfu 0.02%
iter 1146: loss 1.4609, time 1020.41ms, mfu 0.02%
iter 1147: loss 1.3938, time 1006.26ms, mfu 0.02%
iter 1148: loss 1.3863, time 1039.12ms, mfu 0.02%
iter 1149: loss 1.4227, time 1039.51ms, mfu 0.02%
iter 1150: loss 1.4125, time 1120.72ms, mfu 0.02%
iter 1151: loss 1.4800, time 1460.23ms, mfu 0.02%
iter 1152: loss 1.4778, time 1477.44ms, mfu 0.02%
iter 1153: loss 1.4570, time 1400.32ms, mfu 0.02%
iter 1154: loss 1.4737, time 1491.62ms, mfu 0.02%
iter 1155: loss 1.3923, time 1280.46ms, mfu 0.02%
iter 1156: loss 1.4400, time 1187.41ms, mfu 0.02%
iter 1157: loss 1.4249, time 1189.62ms, mfu 0.01%
iter 1158: loss 1.4312, time 1184.81ms, mfu 0.01%
iter 1159: loss 1.3833, time 1147.15ms, mfu 0.02%
iter 1160: loss 1.4880, time 1303.94ms, mfu 0.01%
iter 1161: loss 1.4812, time 1290.90ms, mfu 0.01%
iter 1162: loss 1.4434, time 1370.49ms, mfu 0.01%
iter 1163: loss 1.3956, time 1401.13ms, mfu 0.01%
iter 1164: loss 1.4038, time 1379.67ms, mfu 0.01%
iter 1165: loss 1.3658, time 1224.12ms, mfu 0.01%
iter 1166: loss 1.3845, time 1373.19ms, mfu 0.01%
iter 1167: loss 1.4060, time 1059.68ms, mfu 0.01%
iter 1168: loss 1.4390, time 1316.44ms, mfu 0.01%
iter 1169: loss 1.4149, time 1206.99ms, mfu 0.01%
iter 1170: loss 1.5056, time 1272.40ms, mfu 0.01%
iter 1171: loss 1.4553, time 1411.47ms, mfu 0.01%
iter 1172: loss 1.4132, time 1357.02ms, mfu 0.01%
iter 1173: loss 1.5456, time 1231.63ms, mfu 0.01%
iter 1174: loss 1.3840, time 1434.07ms, mfu 0.01%
iter 1175: loss 1.4109, time 1429.70ms, mfu 0.01%
iter 1176: loss 1.4756, time 1433.89ms, mfu 0.01%
iter 1177: loss 1.3961, time 1549.27ms, mfu 0.01%
iter 1178: loss 1.4363, time 1271.07ms, mfu 0.01%
iter 1179: loss 1.4245, time 1300.79ms, mfu 0.01%
iter 1180: loss 1.4280, time 1317.65ms, mfu 0.01%
iter 1181: loss 1.4812, time 1424.15ms, mfu 0.01%
iter 1182: loss 1.4079, time 1359.90ms, mfu 0.01%
iter 1183: loss 1.4291, time 1357.96ms, mfu 0.01%
iter 1184: loss 1.4710, time 1373.36ms, mfu 0.01%
iter 1185: loss 1.4490, time 1128.03ms, mfu 0.01%
iter 1186: loss 1.4305, time 1298.93ms, mfu 0.01%
iter 1187: loss 1.3975, time 1335.66ms, mfu 0.01%
iter 1188: loss 1.3517, time 1138.61ms, mfu 0.01%
iter 1189: loss 1.4349, time 1347.46ms, mfu 0.01%
iter 1190: loss 1.3729, time 1393.45ms, mfu 0.01%
iter 1191: loss 1.4071, time 1293.79ms, mfu 0.01%
iter 1192: loss 1.3967, time 1412.31ms, mfu 0.01%
iter 1193: loss 1.4899, time 1235.18ms, mfu 0.01%
iter 1194: loss 1.4587, time 1291.94ms, mfu 0.01%
iter 1195: loss 1.4316, time 1229.57ms, mfu 0.01%
iter 1196: loss 1.4793, time 1176.99ms, mfu 0.01%
iter 1197: loss 1.3766, time 1160.81ms, mfu 0.01%
iter 1198: loss 1.4481, time 1428.97ms, mfu 0.01%
iter 1199: loss 1.3960, time 1140.95ms, mfu 0.01%
iter 1200: loss 1.4598, time 569.64ms, mfu 0.02%
iter 1201: loss 1.4146, time 361.43ms, mfu 0.02%
iter 1202: loss 1.3844, time 347.22ms, mfu 0.02%
iter 1203: loss 1.4623, time 362.61ms, mfu 0.02%
iter 1204: loss 1.4326, time 362.73ms, mfu 0.03%
iter 1205: loss 1.4597, time 379.97ms, mfu 0.03%
iter 1206: loss 1.4100, time 423.48ms, mfu 0.03%
iter 1207: loss 1.4005, time 375.77ms, mfu 0.03%
iter 1208: loss 1.4717, time 618.72ms, mfu 0.03%
iter 1209: loss 1.3537, time 395.68ms, mfu 0.03%
iter 1210: loss 1.3432, time 380.04ms, mfu 0.03%
iter 1211: loss 1.3989, time 394.95ms, mfu 0.04%
iter 1212: loss 1.4349, time 428.02ms, mfu 0.04%
iter 1213: loss 1.4739, time 395.85ms, mfu 0.04%
iter 1214: loss 1.3811, time 411.69ms, mfu 0.04%
iter 1215: loss 1.3498, time 899.83ms, mfu 0.04%
iter 1216: loss 1.4311, time 1341.65ms, mfu 0.03%
iter 1217: loss 1.4156, time 1316.77ms, mfu 0.03%
iter 1218: loss 1.3995, time 1294.59ms, mfu 0.03%
iter 1219: loss 1.4717, time 1375.50ms, mfu 0.03%
iter 1220: loss 1.3690, time 1113.76ms, mfu 0.03%
iter 1221: loss 1.4207, time 1255.49ms, mfu 0.03%
iter 1222: loss 1.5090, time 1353.92ms, mfu 0.02%
iter 1223: loss 1.3611, time 1227.84ms, mfu 0.02%
iter 1224: loss 1.4177, time 1165.07ms, mfu 0.02%
iter 1225: loss 1.3866, time 1309.03ms, mfu 0.02%
iter 1226: loss 1.4358, time 1177.13ms, mfu 0.02%
iter 1227: loss 1.3995, time 1088.73ms, mfu 0.02%
iter 1228: loss 1.4175, time 1311.27ms, mfu 0.02%
iter 1229: loss 1.3835, time 1408.92ms, mfu 0.02%
iter 1230: loss 1.3535, time 1290.81ms, mfu 0.02%
iter 1231: loss 1.4579, time 1466.34ms, mfu 0.02%
iter 1232: loss 1.4612, time 1483.96ms, mfu 0.02%
iter 1233: loss 1.3776, time 1370.30ms, mfu 0.02%
iter 1234: loss 1.4231, time 1371.65ms, mfu 0.02%
iter 1235: loss 1.4449, time 1187.36ms, mfu 0.02%
iter 1236: loss 1.4220, time 1399.82ms, mfu 0.02%
iter 1237: loss 1.4400, time 1400.99ms, mfu 0.02%
iter 1238: loss 1.4276, time 1319.72ms, mfu 0.02%
iter 1239: loss 1.4324, time 1339.48ms, mfu 0.02%
iter 1240: loss 1.5058, time 1142.47ms, mfu 0.02%
iter 1241: loss 1.4435, time 1099.19ms, mfu 0.02%
iter 1242: loss 1.4518, time 1241.62ms, mfu 0.02%
iter 1243: loss 1.3779, time 1206.35ms, mfu 0.01%
iter 1244: loss 1.3580, time 1319.06ms, mfu 0.01%
iter 1245: loss 1.4398, time 1259.86ms, mfu 0.01%
iter 1246: loss 1.3795, time 1379.08ms, mfu 0.01%
iter 1247: loss 1.5156, time 1356.95ms, mfu 0.01%
iter 1248: loss 1.4011, time 1305.58ms, mfu 0.01%
iter 1249: loss 1.4975, time 443.20ms, mfu 0.02%
step 1250: train loss 1.4085, val loss 1.6146
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.4201, time 23078.49ms, mfu 0.02%
iter 1251: loss 1.4390, time 364.50ms, mfu 0.02%
iter 1252: loss 1.4280, time 364.72ms, mfu 0.02%
iter 1253: loss 1.4029, time 363.86ms, mfu 0.02%
iter 1254: loss 1.4243, time 363.37ms, mfu 0.03%
iter 1255: loss 1.3633, time 381.07ms, mfu 0.03%
iter 1256: loss 1.4571, time 347.02ms, mfu 0.03%
iter 1257: loss 1.4079, time 380.59ms, mfu 0.03%
iter 1258: loss 1.4056, time 361.91ms, mfu 0.03%
iter 1259: loss 1.4479, time 364.77ms, mfu 0.04%
iter 1260: loss 1.4007, time 364.07ms, mfu 0.04%
iter 1261: loss 1.4230, time 365.25ms, mfu 0.04%
iter 1262: loss 1.4314, time 347.19ms, mfu 0.04%
iter 1263: loss 1.3807, time 364.19ms, mfu 0.04%
iter 1264: loss 1.4451, time 365.24ms, mfu 0.04%
iter 1265: loss 1.4466, time 364.28ms, mfu 0.04%
iter 1266: loss 1.4200, time 365.37ms, mfu 0.04%
iter 1267: loss 1.3961, time 364.13ms, mfu 0.04%
iter 1268: loss 1.4007, time 364.10ms, mfu 0.04%
iter 1269: loss 1.3886, time 380.48ms, mfu 0.04%
iter 1270: loss 1.4583, time 379.86ms, mfu 0.04%
iter 1271: loss 1.4551, time 412.80ms, mfu 0.04%
iter 1272: loss 1.4007, time 412.41ms, mfu 0.04%
iter 1273: loss 1.3583, time 1085.73ms, mfu 0.04%
iter 1274: loss 1.3606, time 1316.83ms, mfu 0.04%
iter 1275: loss 1.3628, time 1046.63ms, mfu 0.04%
iter 1276: loss 1.3287, time 1174.22ms, mfu 0.03%
iter 1277: loss 1.3633, time 1117.30ms, mfu 0.03%
iter 1278: loss 1.4564, time 1220.25ms, mfu 0.03%
iter 1279: loss 1.4007, time 1149.74ms, mfu 0.03%
iter 1280: loss 1.4401, time 1058.71ms, mfu 0.03%
iter 1281: loss 1.4470, time 1273.24ms, mfu 0.03%
iter 1282: loss 1.4213, time 1212.53ms, mfu 0.02%
iter 1283: loss 1.4352, time 1235.75ms, mfu 0.02%
iter 1284: loss 1.4327, time 1188.42ms, mfu 0.02%
iter 1285: loss 1.4083, time 1466.44ms, mfu 0.02%
iter 1286: loss 1.4079, time 1427.93ms, mfu 0.02%
iter 1287: loss 1.4257, time 1431.23ms, mfu 0.02%
iter 1288: loss 1.3444, time 1485.92ms, mfu 0.02%
iter 1289: loss 1.3822, time 1225.34ms, mfu 0.02%
iter 1290: loss 1.4014, time 1054.26ms, mfu 0.02%
iter 1291: loss 1.4505, time 1107.27ms, mfu 0.02%
iter 1292: loss 1.3477, time 1388.71ms, mfu 0.02%
iter 1293: loss 1.3650, time 1434.47ms, mfu 0.02%
iter 1294: loss 1.4361, time 1382.30ms, mfu 0.02%
iter 1295: loss 1.4691, time 1341.65ms, mfu 0.02%
iter 1296: loss 1.4323, time 1358.32ms, mfu 0.02%
iter 1297: loss 1.3834, time 1049.27ms, mfu 0.02%
iter 1298: loss 1.3495, time 1241.16ms, mfu 0.02%
iter 1299: loss 1.4213, time 1404.43ms, mfu 0.02%
iter 1300: loss 1.4206, time 1167.36ms, mfu 0.02%
iter 1301: loss 1.3943, time 1192.07ms, mfu 0.02%
iter 1302: loss 1.4001, time 1339.81ms, mfu 0.02%
iter 1303: loss 1.4292, time 1338.82ms, mfu 0.01%
iter 1304: loss 1.4114, time 1309.21ms, mfu 0.01%
iter 1305: loss 1.4468, time 1107.90ms, mfu 0.01%
iter 1306: loss 1.4483, time 1279.46ms, mfu 0.01%
iter 1307: loss 1.4132, time 1146.09ms, mfu 0.01%
iter 1308: loss 1.4287, time 1206.36ms, mfu 0.01%
iter 1309: loss 1.4016, time 1433.34ms, mfu 0.01%
iter 1310: loss 1.3358, time 1295.49ms, mfu 0.01%
iter 1311: loss 1.4141, time 1198.75ms, mfu 0.01%
iter 1312: loss 1.3439, time 1453.69ms, mfu 0.01%
iter 1313: loss 1.4607, time 1124.93ms, mfu 0.01%
iter 1314: loss 1.3610, time 1230.10ms, mfu 0.01%
iter 1315: loss 1.3195, time 1074.43ms, mfu 0.01%
iter 1316: loss 1.4168, time 1076.32ms, mfu 0.01%
iter 1317: loss 1.4165, time 1194.29ms, mfu 0.01%
iter 1318: loss 1.4050, time 1250.21ms, mfu 0.01%
iter 1319: loss 1.3632, time 1195.52ms, mfu 0.01%
iter 1320: loss 1.4069, time 1153.25ms, mfu 0.01%
iter 1321: loss 1.3067, time 1041.77ms, mfu 0.01%
iter 1322: loss 1.3518, time 1048.69ms, mfu 0.02%
iter 1323: loss 1.3937, time 1065.02ms, mfu 0.02%
iter 1324: loss 1.3302, time 1374.89ms, mfu 0.01%
iter 1325: loss 1.4445, time 1225.55ms, mfu 0.01%
iter 1326: loss 1.3980, time 1366.21ms, mfu 0.01%
iter 1327: loss 1.3491, time 1472.05ms, mfu 0.01%
iter 1328: loss 1.4214, time 1251.81ms, mfu 0.01%
iter 1329: loss 1.3580, time 1440.65ms, mfu 0.01%
iter 1330: loss 1.3982, time 1482.48ms, mfu 0.01%
iter 1331: loss 1.4036, time 1080.39ms, mfu 0.01%
iter 1332: loss 1.3440, time 1059.05ms, mfu 0.01%
iter 1333: loss 1.3156, time 1172.49ms, mfu 0.01%
iter 1334: loss 1.4595, time 1297.83ms, mfu 0.01%
iter 1335: loss 1.4034, time 1352.77ms, mfu 0.01%
iter 1336: loss 1.4392, time 1332.66ms, mfu 0.01%
iter 1337: loss 1.3415, time 1428.30ms, mfu 0.01%
iter 1338: loss 1.3904, time 1412.52ms, mfu 0.01%
iter 1339: loss 1.3459, time 1362.11ms, mfu 0.01%
iter 1340: loss 1.3581, time 1453.32ms, mfu 0.01%
iter 1341: loss 1.3572, time 1573.64ms, mfu 0.01%
iter 1342: loss 1.3320, time 1447.83ms, mfu 0.01%
iter 1343: loss 1.3300, time 1466.47ms, mfu 0.01%
iter 1344: loss 1.3032, time 1483.91ms, mfu 0.01%
iter 1345: loss 1.3262, time 1384.11ms, mfu 0.01%
iter 1346: loss 1.4363, time 1341.10ms, mfu 0.01%
iter 1347: loss 1.3620, time 1456.71ms, mfu 0.01%
iter 1348: loss 1.4622, time 1378.66ms, mfu 0.01%
iter 1349: loss 1.4072, time 1470.73ms, mfu 0.01%
iter 1350: loss 1.3669, time 1476.62ms, mfu 0.01%
iter 1351: loss 1.4255, time 1445.19ms, mfu 0.01%
iter 1352: loss 1.3895, time 1363.91ms, mfu 0.01%
iter 1353: loss 1.3400, time 1441.69ms, mfu 0.01%
iter 1354: loss 1.4155, time 1531.52ms, mfu 0.01%
iter 1355: loss 1.3840, time 1391.96ms, mfu 0.01%
iter 1356: loss 1.3572, time 1086.54ms, mfu 0.01%
iter 1357: loss 1.3997, time 1401.21ms, mfu 0.01%
iter 1358: loss 1.4161, time 1366.25ms, mfu 0.01%
iter 1359: loss 1.4100, time 1405.73ms, mfu 0.01%
iter 1360: loss 1.4225, time 1397.17ms, mfu 0.01%
iter 1361: loss 1.3730, time 1268.59ms, mfu 0.01%
iter 1362: loss 1.3501, time 1449.19ms, mfu 0.01%
iter 1363: loss 1.3737, time 1230.84ms, mfu 0.01%
iter 1364: loss 1.3687, time 1188.92ms, mfu 0.01%
iter 1365: loss 1.3784, time 1221.65ms, mfu 0.01%
iter 1366: loss 1.4377, time 1187.19ms, mfu 0.01%
iter 1367: loss 1.4249, time 1187.61ms, mfu 0.01%
iter 1368: loss 1.3583, time 1188.06ms, mfu 0.01%
iter 1369: loss 1.3208, time 1188.17ms, mfu 0.01%
iter 1370: loss 1.3703, time 1189.86ms, mfu 0.01%
iter 1371: loss 1.3865, time 1465.27ms, mfu 0.01%
iter 1372: loss 1.3486, time 1208.66ms, mfu 0.01%
iter 1373: loss 1.3937, time 1208.94ms, mfu 0.01%
iter 1374: loss 1.4407, time 1180.74ms, mfu 0.01%
iter 1375: loss 1.2894, time 1188.27ms, mfu 0.01%
iter 1376: loss 1.4000, time 1161.92ms, mfu 0.01%
iter 1377: loss 1.3804, time 1178.29ms, mfu 0.01%
iter 1378: loss 1.3924, time 1191.62ms, mfu 0.01%
iter 1379: loss 1.3400, time 1150.91ms, mfu 0.01%
iter 1380: loss 1.3578, time 1161.86ms, mfu 0.01%
iter 1381: loss 1.3917, time 1161.49ms, mfu 0.01%
iter 1382: loss 1.4119, time 1193.58ms, mfu 0.01%
iter 1383: loss 1.4523, time 1192.66ms, mfu 0.01%
iter 1384: loss 1.3551, time 1160.23ms, mfu 0.01%
iter 1385: loss 1.4504, time 1254.93ms, mfu 0.01%
iter 1386: loss 1.3883, time 1206.92ms, mfu 0.01%
iter 1387: loss 1.3384, time 1176.42ms, mfu 0.01%
iter 1388: loss 1.4083, time 1221.93ms, mfu 0.01%
iter 1389: loss 1.3463, time 1189.43ms, mfu 0.01%
iter 1390: loss 1.4613, time 1221.41ms, mfu 0.01%
iter 1391: loss 1.4584, time 1206.10ms, mfu 0.01%
