iter 284: loss 2.3855, time 74.10ms, mfu 0.02%
iter 285: loss 2.3783, time 66.76ms, mfu 0.02%
iter 286: loss 2.3226, time 74.80ms, mfu 0.02%
iter 287: loss 2.3862, time 63.07ms, mfu 0.02%
iter 288: loss 2.3983, time 78.46ms, mfu 0.02%
iter 289: loss 2.4062, time 78.64ms, mfu 0.02%
iter 290: loss 2.3592, time 70.03ms, mfu 0.02%
iter 291: loss 2.4173, time 71.12ms, mfu 0.02%
iter 292: loss 2.3636, time 70.55ms, mfu 0.02%
iter 293: loss 2.3369, time 71.30ms, mfu 0.02%
iter 294: loss 2.2746, time 63.13ms, mfu 0.02%
iter 295: loss 2.3851, time 78.91ms, mfu 0.02%
iter 296: loss 2.3719, time 47.39ms, mfu 0.02%
iter 297: loss 2.3481, time 63.15ms, mfu 0.02%
iter 298: loss 2.3832, time 62.86ms, mfu 0.02%
iter 299: loss 2.3956, time 63.29ms, mfu 0.02%
iter 300: loss 2.4776, time 63.01ms, mfu 0.02%
iter 301: loss 2.3914, time 78.69ms, mfu 0.02%
iter 302: loss 2.4125, time 62.76ms, mfu 0.02%
iter 303: loss 2.3896, time 63.01ms, mfu 0.02%
iter 304: loss 2.4107, time 64.10ms, mfu 0.02%
iter 305: loss 2.3602, time 61.72ms, mfu 0.02%
iter 306: loss 2.4243, time 62.91ms, mfu 0.02%
iter 307: loss 2.3495, time 62.74ms, mfu 0.02%
iter 308: loss 2.4500, time 63.10ms, mfu 0.02%
iter 309: loss 2.3610, time 63.53ms, mfu 0.02%
iter 310: loss 2.4497, time 62.61ms, mfu 0.02%
iter 311: loss 2.4245, time 63.00ms, mfu 0.02%
iter 312: loss 2.4227, time 63.34ms, mfu 0.02%
iter 313: loss 2.3373, time 63.01ms, mfu 0.02%
iter 314: loss 2.4056, time 63.07ms, mfu 0.02%
iter 315: loss 2.4168, time 62.89ms, mfu 0.02%
iter 316: loss 2.3771, time 63.02ms, mfu 0.02%
iter 317: loss 2.4248, time 63.08ms, mfu 0.02%
iter 318: loss 2.2785, time 62.91ms, mfu 0.02%
iter 319: loss 2.3884, time 62.99ms, mfu 0.02%
iter 320: loss 2.3254, time 63.36ms, mfu 0.02%
iter 321: loss 2.3455, time 63.42ms, mfu 0.02%
iter 322: loss 2.3889, time 63.01ms, mfu 0.02%
iter 323: loss 2.2987, time 62.73ms, mfu 0.02%
iter 324: loss 2.3510, time 63.22ms, mfu 0.02%
iter 325: loss 2.3012, time 64.64ms, mfu 0.02%
iter 326: loss 2.4055, time 61.55ms, mfu 0.02%
iter 327: loss 2.3114, time 63.14ms, mfu 0.02%
iter 328: loss 2.2792, time 63.13ms, mfu 0.02%
iter 329: loss 2.4179, time 62.59ms, mfu 0.02%
iter 330: loss 2.3466, time 62.95ms, mfu 0.02%
iter 331: loss 2.3456, time 62.83ms, mfu 0.02%
iter 332: loss 2.4403, time 67.12ms, mfu 0.02%
iter 333: loss 2.2608, time 59.40ms, mfu 0.02%
iter 334: loss 2.3858, time 62.94ms, mfu 0.02%
iter 335: loss 2.2863, time 63.38ms, mfu 0.02%
iter 336: loss 2.3399, time 62.90ms, mfu 0.02%
iter 337: loss 2.3779, time 63.07ms, mfu 0.02%
iter 338: loss 2.3246, time 63.17ms, mfu 0.02%
iter 339: loss 2.3340, time 78.60ms, mfu 0.02%
iter 340: loss 2.3249, time 62.66ms, mfu 0.02%
iter 341: loss 2.2460, time 66.05ms, mfu 0.02%
iter 342: loss 2.3556, time 61.33ms, mfu 0.02%
iter 343: loss 2.2703, time 60.91ms, mfu 0.02%
iter 344: loss 2.3081, time 62.89ms, mfu 0.02%
iter 345: loss 2.2684, time 63.74ms, mfu 0.02%
iter 346: loss 2.2354, time 61.65ms, mfu 0.02%
iter 347: loss 2.4127, time 62.78ms, mfu 0.02%
iter 348: loss 2.3596, time 62.77ms, mfu 0.02%
iter 349: loss 2.3001, time 47.09ms, mfu 0.02%
iter 350: loss 2.2595, time 62.75ms, mfu 0.02%
iter 351: loss 2.2802, time 83.62ms, mfu 0.02%
iter 352: loss 2.3125, time 73.65ms, mfu 0.02%
iter 353: loss 2.3136, time 63.15ms, mfu 0.02%
iter 354: loss 2.3306, time 78.49ms, mfu 0.02%
iter 355: loss 2.3532, time 69.30ms, mfu 0.02%
iter 356: loss 2.3410, time 76.43ms, mfu 0.02%
iter 357: loss 2.3244, time 59.73ms, mfu 0.02%
iter 358: loss 2.3863, time 79.03ms, mfu 0.02%
iter 359: loss 2.2624, time 63.10ms, mfu 0.02%
iter 360: loss 2.3912, time 80.59ms, mfu 0.02%
iter 361: loss 2.3117, time 62.15ms, mfu 0.02%
iter 362: loss 2.3859, time 82.23ms, mfu 0.02%
iter 363: loss 2.2846, time 75.34ms, mfu 0.02%
iter 364: loss 2.3589, time 73.00ms, mfu 0.02%
iter 365: loss 2.3246, time 68.76ms, mfu 0.02%
iter 366: loss 2.2719, time 64.05ms, mfu 0.02%
iter 367: loss 2.2691, time 72.61ms, mfu 0.02%
iter 368: loss 2.2741, time 67.94ms, mfu 0.02%
iter 369: loss 2.3150, time 66.59ms, mfu 0.02%
iter 370: loss 2.3124, time 59.65ms, mfu 0.02%
iter 371: loss 2.3015, time 78.64ms, mfu 0.02%
iter 372: loss 2.3319, time 62.87ms, mfu 0.02%
iter 373: loss 2.2759, time 73.36ms, mfu 0.02%
iter 374: loss 2.2415, time 68.44ms, mfu 0.02%
iter 375: loss 2.2960, time 63.81ms, mfu 0.02%
iter 376: loss 2.3332, time 69.03ms, mfu 0.02%
iter 377: loss 2.2810, time 66.57ms, mfu 0.02%
iter 378: loss 2.1799, time 70.00ms, mfu 0.02%
iter 379: loss 2.2586, time 71.32ms, mfu 0.02%
iter 380: loss 2.2268, time 69.12ms, mfu 0.02%
iter 381: loss 2.2621, time 66.35ms, mfu 0.02%
iter 382: loss 2.2982, time 60.04ms, mfu 0.02%
iter 383: loss 2.3101, time 62.68ms, mfu 0.02%
iter 384: loss 2.3178, time 78.73ms, mfu 0.02%
iter 385: loss 2.3337, time 62.93ms, mfu 0.02%
iter 386: loss 2.2007, time 62.96ms, mfu 0.02%
iter 387: loss 2.2386, time 78.61ms, mfu 0.02%
iter 388: loss 2.3213, time 63.47ms, mfu 0.02%
iter 389: loss 2.3501, time 62.88ms, mfu 0.02%
iter 390: loss 2.1378, time 65.44ms, mfu 0.02%
iter 391: loss 2.3180, time 78.40ms, mfu 0.02%
iter 392: loss 2.3173, time 59.78ms, mfu 0.02%
iter 393: loss 2.2570, time 62.75ms, mfu 0.02%
iter 394: loss 2.3324, time 77.41ms, mfu 0.02%
iter 395: loss 2.3408, time 78.84ms, mfu 0.02%
iter 396: loss 2.3708, time 78.82ms, mfu 0.02%
iter 397: loss 2.2624, time 78.81ms, mfu 0.02%
iter 398: loss 2.2620, time 78.90ms, mfu 0.02%
iter 399: loss 2.3210, time 78.09ms, mfu 0.02%
iter 400: loss 2.2597, time 78.78ms, mfu 0.02%
iter 401: loss 2.2684, time 66.09ms, mfu 0.02%
iter 402: loss 2.3269, time 75.39ms, mfu 0.02%
iter 403: loss 2.2373, time 79.00ms, mfu 0.02%
iter 404: loss 2.2535, time 85.69ms, mfu 0.02%
iter 405: loss 2.2300, time 71.99ms, mfu 0.02%
iter 406: loss 2.2008, time 78.55ms, mfu 0.02%
iter 407: loss 2.2445, time 62.96ms, mfu 0.02%
iter 408: loss 2.3289, time 78.82ms, mfu 0.02%
iter 409: loss 2.2165, time 62.97ms, mfu 0.02%
iter 410: loss 2.1872, time 80.93ms, mfu 0.02%
iter 411: loss 2.2004, time 60.42ms, mfu 0.02%
iter 412: loss 2.1314, time 78.64ms, mfu 0.02%
iter 413: loss 2.2460, time 76.94ms, mfu 0.02%
iter 414: loss 2.2163, time 80.73ms, mfu 0.02%
iter 415: loss 2.2852, time 94.83ms, mfu 0.02%
iter 416: loss 2.2851, time 78.95ms, mfu 0.02%
iter 417: loss 2.3082, time 95.29ms, mfu 0.02%
iter 418: loss 2.3734, time 110.46ms, mfu 0.02%
iter 419: loss 2.1773, time 110.68ms, mfu 0.02%
iter 420: loss 2.2864, time 144.33ms, mfu 0.02%
iter 421: loss 2.2012, time 76.80ms, mfu 0.02%
iter 422: loss 2.2682, time 79.24ms, mfu 0.02%
iter 423: loss 2.2149, time 78.93ms, mfu 0.02%
iter 424: loss 2.2716, time 79.54ms, mfu 0.02%
iter 425: loss 2.1932, time 78.55ms, mfu 0.02%
iter 426: loss 2.2265, time 94.47ms, mfu 0.02%
iter 427: loss 2.2650, time 78.80ms, mfu 0.02%
iter 428: loss 2.2018, time 78.92ms, mfu 0.02%
iter 429: loss 2.1637, time 79.14ms, mfu 0.02%
