iter 213: loss 2.2988, time 443.33ms, mfu 0.09%
iter 214: loss 2.3115, time 454.48ms, mfu 0.09%
iter 215: loss 2.3634, time 449.08ms, mfu 0.09%
iter 216: loss 2.3265, time 443.34ms, mfu 0.09%
iter 217: loss 2.2976, time 457.44ms, mfu 0.09%
iter 218: loss 2.3277, time 458.24ms, mfu 0.09%
iter 219: loss 2.3053, time 458.39ms, mfu 0.09%
iter 220: loss 2.3243, time 459.22ms, mfu 0.09%
iter 221: loss 2.2993, time 459.22ms, mfu 0.09%
iter 222: loss 2.2845, time 459.24ms, mfu 0.09%
iter 223: loss 2.2816, time 443.03ms, mfu 0.09%
iter 224: loss 2.2576, time 444.99ms, mfu 0.09%
iter 225: loss 2.3256, time 459.43ms, mfu 0.09%
iter 226: loss 2.3078, time 444.45ms, mfu 0.09%
iter 227: loss 2.2810, time 444.33ms, mfu 0.09%
iter 228: loss 2.2941, time 443.66ms, mfu 0.09%
iter 229: loss 2.2940, time 458.36ms, mfu 0.09%
iter 230: loss 2.3046, time 444.42ms, mfu 0.09%
iter 231: loss 2.2685, time 458.20ms, mfu 0.09%
iter 232: loss 2.3154, time 443.44ms, mfu 0.09%
iter 233: loss 2.2866, time 459.01ms, mfu 0.09%
iter 234: loss 2.2742, time 442.76ms, mfu 0.09%
iter 235: loss 2.3026, time 487.45ms, mfu 0.09%
iter 236: loss 2.2763, time 444.79ms, mfu 0.09%
iter 237: loss 2.2532, time 457.73ms, mfu 0.09%
iter 238: loss 2.2349, time 459.26ms, mfu 0.09%
iter 239: loss 2.3010, time 459.30ms, mfu 0.09%
iter 240: loss 2.2557, time 456.99ms, mfu 0.09%
iter 241: loss 2.2388, time 472.16ms, mfu 0.09%
iter 242: loss 2.2402, time 456.41ms, mfu 0.09%
iter 243: loss 2.2923, time 447.76ms, mfu 0.09%
iter 244: loss 2.2682, time 443.88ms, mfu 0.09%
iter 245: loss 2.3035, time 457.88ms, mfu 0.09%
iter 246: loss 2.2740, time 443.86ms, mfu 0.09%
iter 247: loss 2.2520, time 444.89ms, mfu 0.09%
iter 248: loss 2.2903, time 457.59ms, mfu 0.09%
iter 249: loss 2.2613, time 457.72ms, mfu 0.09%
step 250: train loss 2.2472, val loss 2.2841
saving checkpoint to out-shakespeare-char
iter 250: loss 2.2635, time 28637.66ms, mfu 0.08%
iter 251: loss 2.2293, time 443.65ms, mfu 0.08%
iter 252: loss 2.2005, time 459.27ms, mfu 0.08%
iter 253: loss 2.2166, time 460.09ms, mfu 0.08%
iter 254: loss 2.2463, time 459.52ms, mfu 0.08%
iter 255: loss 2.2595, time 475.02ms, mfu 0.08%
iter 256: loss 2.2233, time 445.08ms, mfu 0.08%
iter 257: loss 2.1761, time 458.92ms, mfu 0.08%
iter 258: loss 2.2143, time 459.14ms, mfu 0.08%
iter 259: loss 2.2635, time 459.48ms, mfu 0.09%
iter 260: loss 2.2050, time 459.03ms, mfu 0.09%
iter 261: loss 2.2641, time 459.74ms, mfu 0.09%
iter 262: loss 2.2028, time 461.17ms, mfu 0.09%
iter 263: loss 2.3171, time 459.51ms, mfu 0.09%
iter 264: loss 2.2381, time 458.66ms, mfu 0.09%
iter 265: loss 2.2276, time 475.59ms, mfu 0.09%
iter 266: loss 2.2407, time 444.98ms, mfu 0.09%
iter 267: loss 2.2191, time 457.79ms, mfu 0.09%
iter 268: loss 2.2158, time 460.24ms, mfu 0.09%
iter 269: loss 2.2078, time 457.82ms, mfu 0.09%
iter 270: loss 2.2161, time 444.10ms, mfu 0.09%
iter 271: loss 2.2134, time 443.19ms, mfu 0.09%
iter 272: loss 2.1667, time 456.17ms, mfu 0.09%
iter 273: loss 2.2026, time 444.08ms, mfu 0.09%
iter 274: loss 2.1642, time 445.28ms, mfu 0.09%
iter 275: loss 2.1618, time 473.56ms, mfu 0.09%
iter 276: loss 2.2024, time 443.96ms, mfu 0.09%
iter 277: loss 2.1934, time 460.53ms, mfu 0.09%
iter 278: loss 2.2386, time 443.98ms, mfu 0.09%
iter 279: loss 2.1444, time 458.76ms, mfu 0.09%
iter 280: loss 2.1975, time 475.49ms, mfu 0.09%
iter 281: loss 2.1531, time 458.07ms, mfu 0.09%
iter 282: loss 2.1514, time 490.20ms, mfu 0.09%
iter 283: loss 2.1819, time 475.38ms, mfu 0.09%
iter 284: loss 2.1624, time 459.45ms, mfu 0.09%
iter 285: loss 2.2239, time 475.70ms, mfu 0.09%
iter 286: loss 2.1809, time 476.82ms, mfu 0.09%
iter 287: loss 2.1850, time 476.54ms, mfu 0.09%
iter 288: loss 2.1631, time 475.61ms, mfu 0.09%
iter 289: loss 2.1596, time 477.11ms, mfu 0.09%
iter 290: loss 2.2105, time 475.93ms, mfu 0.09%
iter 291: loss 2.1706, time 474.35ms, mfu 0.09%
iter 292: loss 2.1560, time 460.21ms, mfu 0.09%
iter 293: loss 2.1186, time 477.90ms, mfu 0.09%
iter 294: loss 2.2249, time 460.38ms, mfu 0.09%
iter 295: loss 2.0798, time 457.83ms, mfu 0.09%
iter 296: loss 2.1495, time 474.77ms, mfu 0.09%
iter 297: loss 2.1625, time 472.64ms, mfu 0.09%
iter 298: loss 2.1400, time 489.27ms, mfu 0.09%
iter 299: loss 2.1784, time 459.81ms, mfu 0.09%
iter 300: loss 2.1873, time 481.08ms, mfu 0.09%
iter 301: loss 2.1251, time 453.79ms, mfu 0.09%
