iter 216: loss 2.2111, time 490.34ms, mfu 0.08%
iter 217: loss 2.2218, time 488.33ms, mfu 0.08%
iter 218: loss 2.2172, time 480.47ms, mfu 0.08%
iter 219: loss 2.2761, time 491.96ms, mfu 0.08%
iter 220: loss 2.2124, time 492.54ms, mfu 0.08%
iter 221: loss 2.2048, time 491.75ms, mfu 0.08%
iter 222: loss 2.2480, time 476.62ms, mfu 0.08%
iter 223: loss 2.1884, time 492.81ms, mfu 0.08%
iter 224: loss 2.2248, time 489.16ms, mfu 0.08%
iter 225: loss 2.2042, time 477.64ms, mfu 0.08%
iter 226: loss 2.2029, time 490.41ms, mfu 0.08%
iter 227: loss 2.2136, time 489.25ms, mfu 0.08%
iter 228: loss 2.2398, time 473.89ms, mfu 0.08%
iter 229: loss 2.1834, time 489.41ms, mfu 0.08%
iter 230: loss 2.1856, time 490.80ms, mfu 0.08%
iter 231: loss 2.1906, time 490.78ms, mfu 0.08%
iter 232: loss 2.2036, time 490.54ms, mfu 0.08%
iter 233: loss 2.1207, time 473.31ms, mfu 0.08%
iter 234: loss 2.2498, time 491.98ms, mfu 0.08%
iter 235: loss 2.2191, time 490.30ms, mfu 0.08%
iter 236: loss 2.2201, time 491.92ms, mfu 0.08%
iter 237: loss 2.1195, time 475.24ms, mfu 0.08%
iter 238: loss 2.1161, time 507.18ms, mfu 0.08%
iter 239: loss 2.2350, time 489.73ms, mfu 0.08%
iter 240: loss 2.1579, time 477.39ms, mfu 0.08%
iter 241: loss 2.1748, time 488.93ms, mfu 0.08%
iter 242: loss 2.1895, time 487.99ms, mfu 0.08%
iter 243: loss 2.1521, time 488.82ms, mfu 0.08%
iter 244: loss 2.1517, time 490.57ms, mfu 0.08%
iter 245: loss 2.1550, time 491.04ms, mfu 0.08%
iter 246: loss 2.1181, time 473.16ms, mfu 0.08%
iter 247: loss 2.1355, time 489.89ms, mfu 0.08%
iter 248: loss 2.1267, time 491.73ms, mfu 0.08%
iter 249: loss 2.1590, time 492.46ms, mfu 0.08%
step 250: train loss 2.1438, val loss 2.2140
saving checkpoint to out-shakespeare-char
iter 250: loss 2.1177, time 30287.82ms, mfu 0.08%
iter 251: loss 2.1230, time 493.29ms, mfu 0.08%
iter 252: loss 2.1205, time 489.45ms, mfu 0.08%
iter 253: loss 2.1930, time 474.81ms, mfu 0.08%
iter 254: loss 2.0795, time 489.64ms, mfu 0.08%
iter 255: loss 2.1838, time 475.70ms, mfu 0.08%
iter 256: loss 2.1135, time 488.76ms, mfu 0.08%
iter 257: loss 2.1132, time 491.15ms, mfu 0.08%
iter 258: loss 2.1011, time 491.70ms, mfu 0.08%
iter 259: loss 2.1207, time 490.71ms, mfu 0.08%
iter 260: loss 2.1847, time 505.31ms, mfu 0.08%
iter 261: loss 2.1439, time 473.66ms, mfu 0.08%
iter 262: loss 2.1140, time 489.81ms, mfu 0.08%
iter 263: loss 2.1279, time 474.77ms, mfu 0.08%
iter 264: loss 2.1759, time 491.44ms, mfu 0.08%
iter 265: loss 2.1489, time 474.96ms, mfu 0.08%
iter 266: loss 2.1128, time 490.61ms, mfu 0.08%
iter 267: loss 2.0875, time 475.65ms, mfu 0.08%
iter 268: loss 2.1748, time 491.45ms, mfu 0.08%
iter 269: loss 2.0911, time 491.47ms, mfu 0.08%
iter 270: loss 2.1409, time 490.71ms, mfu 0.08%
iter 271: loss 2.1182, time 489.62ms, mfu 0.08%
iter 272: loss 2.0995, time 490.36ms, mfu 0.08%
iter 273: loss 2.1508, time 506.48ms, mfu 0.08%
iter 274: loss 2.1058, time 509.25ms, mfu 0.08%
iter 275: loss 2.0905, time 488.50ms, mfu 0.08%
iter 276: loss 2.0734, time 504.50ms, mfu 0.08%
iter 277: loss 2.0471, time 489.73ms, mfu 0.08%
iter 278: loss 2.1200, time 473.44ms, mfu 0.08%
iter 279: loss 2.1014, time 505.82ms, mfu 0.08%
iter 280: loss 2.0986, time 474.20ms, mfu 0.08%
iter 281: loss 2.1096, time 490.53ms, mfu 0.08%
iter 282: loss 2.1147, time 475.23ms, mfu 0.08%
iter 283: loss 2.0979, time 490.96ms, mfu 0.08%
iter 284: loss 2.0649, time 491.69ms, mfu 0.08%
iter 285: loss 2.0572, time 474.88ms, mfu 0.08%
iter 286: loss 2.0705, time 489.22ms, mfu 0.08%
iter 287: loss 2.1121, time 490.31ms, mfu 0.08%
iter 288: loss 2.1235, time 484.69ms, mfu 0.08%
iter 289: loss 2.0889, time 482.04ms, mfu 0.08%
iter 290: loss 2.0856, time 489.44ms, mfu 0.08%
iter 291: loss 2.0175, time 490.60ms, mfu 0.08%
iter 292: loss 2.0356, time 476.12ms, mfu 0.08%
iter 293: loss 2.0918, time 489.76ms, mfu 0.08%
iter 294: loss 2.0463, time 490.66ms, mfu 0.08%
iter 295: loss 2.0408, time 486.11ms, mfu 0.08%
iter 296: loss 2.0333, time 481.06ms, mfu 0.08%
iter 297: loss 2.0340, time 474.07ms, mfu 0.08%
iter 298: loss 2.0836, time 490.80ms, mfu 0.08%
iter 299: loss 2.0392, time 474.91ms, mfu 0.08%
iter 300: loss 2.0632, time 490.52ms, mfu 0.08%
iter 301: loss 2.0752, time 459.56ms, mfu 0.09%
iter 302: loss 2.0719, time 476.81ms, mfu 0.09%
iter 303: loss 2.0819, time 474.48ms, mfu 0.09%
iter 304: loss 2.0370, time 491.17ms, mfu 0.09%
iter 305: loss 2.0563, time 477.98ms, mfu 0.09%
iter 306: loss 1.9488, time 473.80ms, mfu 0.09%
iter 307: loss 2.0022, time 474.55ms, mfu 0.09%
iter 308: loss 2.0481, time 474.39ms, mfu 0.09%
iter 309: loss 2.0112, time 490.23ms, mfu 0.09%
iter 310: loss 2.0380, time 474.73ms, mfu 0.09%
iter 311: loss 1.9711, time 491.45ms, mfu 0.09%
iter 312: loss 2.0169, time 491.65ms, mfu 0.09%
iter 313: loss 2.0353, time 490.00ms, mfu 0.09%
iter 314: loss 1.9484, time 493.18ms, mfu 0.09%
iter 315: loss 2.0014, time 491.63ms, mfu 0.08%
iter 316: loss 1.9912, time 504.49ms, mfu 0.08%
iter 317: loss 1.9583, time 491.16ms, mfu 0.08%
iter 318: loss 1.9720, time 506.97ms, mfu 0.08%
iter 319: loss 1.9596, time 491.03ms, mfu 0.08%
iter 320: loss 2.0116, time 508.36ms, mfu 0.08%
iter 321: loss 1.9622, time 505.46ms, mfu 0.08%
iter 322: loss 1.9801, time 505.94ms, mfu 0.08%
iter 323: loss 2.0034, time 490.81ms, mfu 0.08%
iter 324: loss 1.9425, time 503.13ms, mfu 0.08%
iter 325: loss 2.0509, time 495.85ms, mfu 0.08%
iter 326: loss 2.0120, time 491.13ms, mfu 0.08%
iter 327: loss 1.9743, time 508.33ms, mfu 0.08%
iter 328: loss 2.0122, time 506.05ms, mfu 0.08%
iter 329: loss 1.9437, time 491.91ms, mfu 0.08%
iter 330: loss 2.0428, time 491.91ms, mfu 0.08%
iter 331: loss 2.0107, time 491.79ms, mfu 0.08%
iter 332: loss 1.9821, time 507.94ms, mfu 0.08%
iter 333: loss 1.9467, time 491.63ms, mfu 0.08%
iter 334: loss 1.9586, time 508.93ms, mfu 0.08%
iter 335: loss 1.9684, time 490.50ms, mfu 0.08%
iter 336: loss 2.0065, time 488.72ms, mfu 0.08%
iter 337: loss 1.9473, time 492.57ms, mfu 0.08%
iter 338: loss 1.9227, time 490.96ms, mfu 0.08%
iter 339: loss 2.0039, time 507.83ms, mfu 0.08%
iter 340: loss 1.9201, time 491.96ms, mfu 0.08%
iter 341: loss 1.9364, time 506.66ms, mfu 0.08%
iter 342: loss 2.0223, time 492.02ms, mfu 0.08%
iter 343: loss 1.9574, time 520.95ms, mfu 0.08%
iter 344: loss 1.8588, time 506.48ms, mfu 0.08%
iter 345: loss 1.9085, time 491.26ms, mfu 0.08%
iter 346: loss 1.9747, time 508.85ms, mfu 0.08%
iter 347: loss 1.9842, time 507.81ms, mfu 0.08%
iter 348: loss 1.9104, time 490.43ms, mfu 0.08%
iter 349: loss 1.8796, time 507.06ms, mfu 0.08%
iter 350: loss 1.9238, time 507.44ms, mfu 0.08%
iter 351: loss 1.9177, time 506.00ms, mfu 0.08%
iter 352: loss 1.8997, time 508.50ms, mfu 0.08%
iter 353: loss 1.9402, time 505.47ms, mfu 0.08%
iter 354: loss 1.9152, time 507.66ms, mfu 0.08%
iter 355: loss 1.9036, time 506.00ms, mfu 0.08%
iter 356: loss 1.9790, time 507.51ms, mfu 0.08%
iter 357: loss 1.8648, time 509.54ms, mfu 0.08%
iter 358: loss 1.8436, time 506.70ms, mfu 0.08%
iter 359: loss 1.9521, time 522.30ms, mfu 0.08%
iter 360: loss 1.8399, time 524.08ms, mfu 0.08%
iter 361: loss 1.8584, time 506.71ms, mfu 0.08%
iter 362: loss 1.8709, time 522.13ms, mfu 0.08%
iter 363: loss 1.8573, time 489.86ms, mfu 0.08%
iter 364: loss 1.8950, time 506.33ms, mfu 0.08%
iter 365: loss 1.8939, time 489.89ms, mfu 0.08%
iter 366: loss 1.8326, time 506.20ms, mfu 0.08%
iter 367: loss 1.9408, time 505.54ms, mfu 0.08%
iter 368: loss 1.9415, time 505.72ms, mfu 0.08%
iter 369: loss 1.8607, time 492.05ms, mfu 0.08%
iter 370: loss 1.9454, time 506.33ms, mfu 0.08%
iter 371: loss 1.9018, time 489.80ms, mfu 0.08%
iter 372: loss 1.9072, time 474.23ms, mfu 0.08%
iter 373: loss 1.8371, time 490.43ms, mfu 0.08%
iter 374: loss 1.8631, time 474.16ms, mfu 0.08%
iter 375: loss 1.8864, time 492.45ms, mfu 0.08%
iter 376: loss 1.8587, time 473.37ms, mfu 0.08%
iter 377: loss 1.8504, time 474.37ms, mfu 0.08%
iter 378: loss 1.8336, time 490.62ms, mfu 0.08%
iter 379: loss 1.9423, time 490.97ms, mfu 0.08%
iter 380: loss 1.9237, time 493.02ms, mfu 0.08%
iter 381: loss 1.8409, time 508.52ms, mfu 0.08%
iter 382: loss 1.9184, time 489.97ms, mfu 0.08%
iter 383: loss 1.9120, time 505.07ms, mfu 0.08%
iter 384: loss 1.8819, time 492.53ms, mfu 0.08%
iter 385: loss 1.9112, time 491.07ms, mfu 0.08%
iter 386: loss 1.9223, time 475.41ms, mfu 0.08%
iter 387: loss 1.8692, time 489.48ms, mfu 0.08%
iter 388: loss 1.8310, time 475.40ms, mfu 0.08%
iter 389: loss 1.8414, time 490.81ms, mfu 0.08%
iter 390: loss 1.7864, time 491.01ms, mfu 0.08%
iter 391: loss 1.8118, time 491.87ms, mfu 0.08%
iter 392: loss 1.8716, time 491.33ms, mfu 0.08%
iter 393: loss 1.8129, time 490.80ms, mfu 0.08%
iter 394: loss 1.8431, time 478.19ms, mfu 0.08%
iter 395: loss 1.8320, time 491.36ms, mfu 0.08%
iter 396: loss 1.8336, time 490.63ms, mfu 0.08%
iter 397: loss 1.7784, time 492.04ms, mfu 0.08%
iter 398: loss 1.8752, time 488.81ms, mfu 0.08%
iter 399: loss 1.8068, time 491.01ms, mfu 0.08%
iter 400: loss 1.8640, time 504.82ms, mfu 0.08%
iter 401: loss 1.8561, time 491.97ms, mfu 0.08%
iter 402: loss 1.8252, time 488.78ms, mfu 0.08%
iter 403: loss 1.7703, time 490.71ms, mfu 0.08%
iter 404: loss 1.7963, time 474.82ms, mfu 0.08%
iter 405: loss 1.7505, time 488.85ms, mfu 0.08%
iter 406: loss 1.8306, time 490.70ms, mfu 0.08%
iter 407: loss 1.7710, time 475.28ms, mfu 0.08%
iter 408: loss 1.8283, time 490.54ms, mfu 0.08%
iter 409: loss 1.8165, time 491.31ms, mfu 0.08%
iter 410: loss 1.8073, time 491.50ms, mfu 0.08%
iter 411: loss 1.7692, time 489.54ms, mfu 0.08%
iter 412: loss 1.8319, time 491.64ms, mfu 0.08%
iter 413: loss 1.8123, time 490.43ms, mfu 0.08%
iter 414: loss 1.8023, time 488.55ms, mfu 0.08%
iter 415: loss 1.8512, time 506.46ms, mfu 0.08%
iter 416: loss 1.7962, time 474.38ms, mfu 0.08%
iter 417: loss 1.7880, time 506.71ms, mfu 0.08%
iter 418: loss 1.8089, time 488.67ms, mfu 0.08%
iter 419: loss 1.7974, time 505.17ms, mfu 0.08%
iter 420: loss 1.7851, time 709.09ms, mfu 0.08%
iter 421: loss 1.8001, time 688.69ms, mfu 0.08%
