iter 177: loss 2.3885, time 34.22ms, mfu 0.03%
iter 178: loss 2.4547, time 47.29ms, mfu 0.03%
iter 179: loss 2.4896, time 53.39ms, mfu 0.03%
iter 180: loss 2.4984, time 41.14ms, mfu 0.03%
iter 181: loss 2.4394, time 47.22ms, mfu 0.03%
iter 182: loss 2.4845, time 47.05ms, mfu 0.03%
iter 183: loss 2.4571, time 47.18ms, mfu 0.03%
iter 184: loss 2.4719, time 47.08ms, mfu 0.03%
iter 185: loss 2.4451, time 47.16ms, mfu 0.03%
iter 186: loss 2.5065, time 52.15ms, mfu 0.03%
iter 187: loss 2.5443, time 42.19ms, mfu 0.03%
iter 188: loss 2.4029, time 47.11ms, mfu 0.03%
iter 189: loss 2.4746, time 47.29ms, mfu 0.03%
iter 190: loss 2.3571, time 47.48ms, mfu 0.03%
iter 191: loss 2.3837, time 47.31ms, mfu 0.03%
iter 192: loss 2.4575, time 47.05ms, mfu 0.03%
iter 193: loss 2.4541, time 46.98ms, mfu 0.03%
iter 194: loss 2.4260, time 47.43ms, mfu 0.03%
iter 195: loss 2.4041, time 47.98ms, mfu 0.03%
iter 196: loss 2.4914, time 47.29ms, mfu 0.03%
iter 197: loss 2.4522, time 47.34ms, mfu 0.03%
iter 198: loss 2.4696, time 47.20ms, mfu 0.03%
iter 199: loss 2.5693, time 47.28ms, mfu 0.03%
iter 200: loss 2.3908, time 47.32ms, mfu 0.03%
iter 201: loss 2.4133, time 47.06ms, mfu 0.03%
iter 202: loss 2.3812, time 47.35ms, mfu 0.03%
iter 203: loss 2.4847, time 47.30ms, mfu 0.03%
iter 204: loss 2.4942, time 47.49ms, mfu 0.03%
iter 205: loss 2.5189, time 47.03ms, mfu 0.03%
iter 206: loss 2.5050, time 47.29ms, mfu 0.03%
iter 207: loss 2.4341, time 63.07ms, mfu 0.03%
iter 208: loss 2.5280, time 47.03ms, mfu 0.03%
iter 209: loss 2.4969, time 47.12ms, mfu 0.03%
iter 210: loss 2.4584, time 47.25ms, mfu 0.03%
iter 211: loss 2.3754, time 47.14ms, mfu 0.03%
iter 212: loss 2.3688, time 47.49ms, mfu 0.03%
iter 213: loss 2.4822, time 47.47ms, mfu 0.03%
iter 214: loss 2.4288, time 47.50ms, mfu 0.03%
iter 215: loss 2.4397, time 47.36ms, mfu 0.03%
iter 216: loss 2.3931, time 47.12ms, mfu 0.03%
iter 217: loss 2.3739, time 47.29ms, mfu 0.03%
iter 218: loss 2.3936, time 47.26ms, mfu 0.03%
iter 219: loss 2.4766, time 47.28ms, mfu 0.03%
iter 220: loss 2.4200, time 47.07ms, mfu 0.03%
iter 221: loss 2.4605, time 47.27ms, mfu 0.03%
iter 222: loss 2.5157, time 47.12ms, mfu 0.03%
iter 223: loss 2.4906, time 47.47ms, mfu 0.03%
iter 224: loss 2.4493, time 62.68ms, mfu 0.03%
iter 225: loss 2.4476, time 47.07ms, mfu 0.03%
iter 226: loss 2.4102, time 47.07ms, mfu 0.03%
iter 227: loss 2.4042, time 47.09ms, mfu 0.03%
iter 228: loss 2.4414, time 47.37ms, mfu 0.03%
iter 229: loss 2.4737, time 47.31ms, mfu 0.03%
iter 230: loss 2.4437, time 47.17ms, mfu 0.03%
iter 231: loss 2.4243, time 47.06ms, mfu 0.03%
iter 232: loss 2.4172, time 47.26ms, mfu 0.03%
iter 233: loss 2.4271, time 47.13ms, mfu 0.03%
iter 234: loss 2.4457, time 47.17ms, mfu 0.03%
iter 235: loss 2.4442, time 62.97ms, mfu 0.03%
iter 236: loss 2.4830, time 47.08ms, mfu 0.03%
iter 237: loss 2.3591, time 46.98ms, mfu 0.03%
iter 238: loss 2.3737, time 47.21ms, mfu 0.03%
iter 239: loss 2.4251, time 46.95ms, mfu 0.03%
iter 240: loss 2.4746, time 47.13ms, mfu 0.03%
iter 241: loss 2.4448, time 47.16ms, mfu 0.03%
iter 242: loss 2.4141, time 47.06ms, mfu 0.03%
iter 243: loss 2.3999, time 47.22ms, mfu 0.03%
iter 244: loss 2.4005, time 47.16ms, mfu 0.03%
iter 245: loss 2.3929, time 47.33ms, mfu 0.03%
iter 246: loss 2.3830, time 47.03ms, mfu 0.03%
iter 247: loss 2.4234, time 47.46ms, mfu 0.03%
iter 248: loss 2.3538, time 47.27ms, mfu 0.03%
iter 249: loss 2.4302, time 47.11ms, mfu 0.03%
step 250: train loss 2.4088, val loss 2.4123
saving checkpoint to out-shakespeare-char
iter 250: loss 2.3834, time 2800.21ms, mfu 0.02%
iter 251: loss 2.3676, time 47.03ms, mfu 0.02%
iter 252: loss 2.4757, time 47.18ms, mfu 0.02%
iter 253: loss 2.4323, time 34.30ms, mfu 0.03%
iter 254: loss 2.4195, time 44.17ms, mfu 0.03%
iter 255: loss 2.3610, time 47.06ms, mfu 0.03%
iter 256: loss 2.3552, time 47.51ms, mfu 0.03%
iter 257: loss 2.4218, time 46.97ms, mfu 0.03%
iter 258: loss 2.3954, time 47.26ms, mfu 0.03%
iter 259: loss 2.3915, time 47.17ms, mfu 0.03%
iter 260: loss 2.3892, time 47.48ms, mfu 0.03%
iter 261: loss 2.3693, time 46.95ms, mfu 0.03%
iter 262: loss 2.4038, time 47.28ms, mfu 0.03%
iter 263: loss 2.4416, time 47.25ms, mfu 0.03%
iter 264: loss 2.3732, time 47.58ms, mfu 0.03%
iter 265: loss 2.4628, time 47.11ms, mfu 0.03%
iter 266: loss 2.3555, time 47.07ms, mfu 0.03%
iter 267: loss 2.4150, time 47.12ms, mfu 0.03%
iter 268: loss 2.3967, time 47.36ms, mfu 0.03%
iter 269: loss 2.3499, time 47.20ms, mfu 0.03%
iter 270: loss 2.4298, time 56.62ms, mfu 0.03%
iter 271: loss 2.4355, time 37.55ms, mfu 0.03%
iter 272: loss 2.3921, time 62.86ms, mfu 0.03%
iter 273: loss 2.4131, time 47.39ms, mfu 0.03%
iter 274: loss 2.3904, time 46.93ms, mfu 0.03%
iter 275: loss 2.3810, time 47.15ms, mfu 0.03%
iter 276: loss 2.4805, time 47.27ms, mfu 0.03%
iter 277: loss 2.3490, time 47.09ms, mfu 0.03%
iter 278: loss 2.4681, time 47.00ms, mfu 0.03%
iter 279: loss 2.3616, time 47.36ms, mfu 0.03%
iter 280: loss 2.3357, time 47.26ms, mfu 0.03%
iter 281: loss 2.4590, time 47.30ms, mfu 0.03%
iter 282: loss 2.3135, time 47.23ms, mfu 0.03%
iter 283: loss 2.4000, time 47.18ms, mfu 0.03%
iter 284: loss 2.3790, time 62.82ms, mfu 0.03%
iter 285: loss 2.3970, time 46.90ms, mfu 0.03%
iter 286: loss 2.3719, time 47.25ms, mfu 0.03%
iter 287: loss 2.3889, time 47.11ms, mfu 0.03%
iter 288: loss 2.5292, time 47.37ms, mfu 0.03%
iter 289: loss 2.3879, time 47.22ms, mfu 0.03%
iter 290: loss 2.4104, time 63.42ms, mfu 0.03%
iter 291: loss 2.4898, time 62.80ms, mfu 0.03%
iter 292: loss 2.3746, time 47.17ms, mfu 0.03%
iter 293: loss 2.3774, time 62.91ms, mfu 0.02%
iter 294: loss 2.2902, time 47.61ms, mfu 0.03%
iter 295: loss 2.3182, time 62.72ms, mfu 0.02%
iter 296: loss 2.3015, time 47.33ms, mfu 0.02%
iter 297: loss 2.3326, time 62.94ms, mfu 0.02%
iter 298: loss 2.3923, time 47.40ms, mfu 0.02%
iter 299: loss 2.4195, time 63.49ms, mfu 0.02%
iter 300: loss 2.3361, time 63.13ms, mfu 0.02%
iter 301: loss 2.3760, time 47.17ms, mfu 0.02%
iter 302: loss 2.2940, time 62.91ms, mfu 0.02%
iter 303: loss 2.3767, time 47.09ms, mfu 0.02%
iter 304: loss 2.4474, time 47.28ms, mfu 0.02%
iter 305: loss 2.3636, time 47.22ms, mfu 0.02%
iter 306: loss 2.4428, time 47.13ms, mfu 0.02%
iter 307: loss 2.4057, time 47.10ms, mfu 0.03%
iter 308: loss 2.3416, time 46.96ms, mfu 0.03%
iter 309: loss 2.3699, time 52.10ms, mfu 0.03%
iter 310: loss 2.3433, time 58.10ms, mfu 0.02%
iter 311: loss 2.3288, time 47.44ms, mfu 0.03%
iter 312: loss 2.4270, time 62.76ms, mfu 0.02%
iter 313: loss 2.3912, time 46.97ms, mfu 0.02%
iter 314: loss 2.3457, time 47.56ms, mfu 0.03%
iter 315: loss 2.4463, time 47.47ms, mfu 0.03%
iter 316: loss 2.4198, time 59.51ms, mfu 0.02%
iter 317: loss 2.3022, time 194.90ms, mfu 0.02%
iter 318: loss 2.4372, time 143.45ms, mfu 0.02%
iter 319: loss 2.3467, time 254.76ms, mfu 0.02%
iter 320: loss 2.3989, time 223.56ms, mfu 0.02%
iter 321: loss 2.3103, time 287.45ms, mfu 0.02%
iter 322: loss 2.3728, time 207.39ms, mfu 0.02%
iter 323: loss 2.3607, time 254.34ms, mfu 0.01%
iter 324: loss 2.3202, time 254.40ms, mfu 0.01%
iter 325: loss 2.3174, time 254.01ms, mfu 0.01%
iter 326: loss 2.3901, time 222.20ms, mfu 0.01%
iter 327: loss 2.4093, time 255.19ms, mfu 0.01%
iter 328: loss 2.3686, time 198.09ms, mfu 0.01%
iter 329: loss 2.4333, time 55.99ms, mfu 0.01%
iter 330: loss 2.3253, time 62.92ms, mfu 0.01%
iter 331: loss 2.3786, time 63.18ms, mfu 0.01%
iter 332: loss 2.3461, time 207.28ms, mfu 0.01%
iter 333: loss 2.3727, time 238.98ms, mfu 0.01%
iter 334: loss 2.2859, time 254.36ms, mfu 0.01%
