iter 309: loss 2.4295, time 47.31ms, mfu 0.02%
iter 310: loss 2.3594, time 47.11ms, mfu 0.02%
iter 311: loss 2.3502, time 63.37ms, mfu 0.02%
iter 312: loss 2.4659, time 47.26ms, mfu 0.02%
iter 313: loss 2.4372, time 47.39ms, mfu 0.02%
iter 314: loss 2.3625, time 63.01ms, mfu 0.02%
iter 315: loss 2.4761, time 47.37ms, mfu 0.02%
iter 316: loss 2.4287, time 47.23ms, mfu 0.02%
iter 317: loss 2.3253, time 47.51ms, mfu 0.03%
iter 318: loss 2.4442, time 63.34ms, mfu 0.02%
iter 319: loss 2.3513, time 47.34ms, mfu 0.02%
iter 320: loss 2.4063, time 47.59ms, mfu 0.03%
iter 321: loss 2.3321, time 47.13ms, mfu 0.03%
iter 322: loss 2.4108, time 47.29ms, mfu 0.03%
iter 323: loss 2.4310, time 62.66ms, mfu 0.02%
iter 324: loss 2.3523, time 46.96ms, mfu 0.03%
iter 325: loss 2.3527, time 47.13ms, mfu 0.03%
iter 326: loss 2.3936, time 62.66ms, mfu 0.02%
iter 327: loss 2.4390, time 47.31ms, mfu 0.02%
iter 328: loss 2.3790, time 47.44ms, mfu 0.03%
iter 329: loss 2.4477, time 47.10ms, mfu 0.03%
iter 330: loss 2.3568, time 47.31ms, mfu 0.03%
iter 331: loss 2.4004, time 47.92ms, mfu 0.03%
iter 332: loss 2.3685, time 47.15ms, mfu 0.03%
iter 333: loss 2.3938, time 47.68ms, mfu 0.03%
iter 334: loss 2.2899, time 47.57ms, mfu 0.03%
iter 335: loss 2.3501, time 47.18ms, mfu 0.03%
iter 336: loss 2.4007, time 47.70ms, mfu 0.03%
iter 337: loss 2.2609, time 53.24ms, mfu 0.03%
iter 338: loss 2.3827, time 41.09ms, mfu 0.03%
iter 339: loss 2.4731, time 47.23ms, mfu 0.03%
iter 340: loss 2.2678, time 62.88ms, mfu 0.03%
iter 341: loss 2.3593, time 50.74ms, mfu 0.03%
iter 342: loss 2.3270, time 43.47ms, mfu 0.03%
iter 343: loss 2.4056, time 47.24ms, mfu 0.03%
iter 344: loss 2.3483, time 47.39ms, mfu 0.03%
iter 345: loss 2.3275, time 63.05ms, mfu 0.03%
iter 346: loss 2.3692, time 47.22ms, mfu 0.03%
iter 347: loss 2.3970, time 47.10ms, mfu 0.03%
iter 348: loss 2.3039, time 47.33ms, mfu 0.03%
iter 349: loss 2.3071, time 47.09ms, mfu 0.03%
iter 350: loss 2.3868, time 47.20ms, mfu 0.03%
iter 351: loss 2.2767, time 47.38ms, mfu 0.03%
iter 352: loss 2.3376, time 47.28ms, mfu 0.03%
iter 353: loss 2.3335, time 47.54ms, mfu 0.03%
iter 354: loss 2.4903, time 47.14ms, mfu 0.03%
iter 355: loss 2.3938, time 47.23ms, mfu 0.03%
iter 356: loss 2.3506, time 47.22ms, mfu 0.03%
iter 357: loss 2.3424, time 47.51ms, mfu 0.03%
iter 358: loss 2.3391, time 47.50ms, mfu 0.03%
iter 359: loss 2.3968, time 47.42ms, mfu 0.03%
iter 360: loss 2.4290, time 62.82ms, mfu 0.03%
iter 361: loss 2.3592, time 47.55ms, mfu 0.03%
iter 362: loss 2.3489, time 51.68ms, mfu 0.03%
iter 363: loss 2.4000, time 58.56ms, mfu 0.03%
iter 364: loss 2.4010, time 47.07ms, mfu 0.03%
iter 365: loss 2.3903, time 59.27ms, mfu 0.03%
iter 366: loss 2.3896, time 51.52ms, mfu 0.03%
iter 367: loss 2.3276, time 47.13ms, mfu 0.03%
iter 368: loss 2.3732, time 47.04ms, mfu 0.03%
iter 369: loss 2.3050, time 63.22ms, mfu 0.02%
iter 370: loss 2.3431, time 47.31ms, mfu 0.03%
iter 371: loss 2.3541, time 47.46ms, mfu 0.03%
iter 372: loss 2.3249, time 62.95ms, mfu 0.02%
iter 373: loss 2.4200, time 37.82ms, mfu 0.03%
iter 374: loss 2.3205, time 40.92ms, mfu 0.03%
iter 375: loss 2.2912, time 63.11ms, mfu 0.03%
iter 376: loss 2.3084, time 47.07ms, mfu 0.03%
iter 377: loss 2.2626, time 47.45ms, mfu 0.03%
iter 378: loss 2.3879, time 62.93ms, mfu 0.03%
iter 379: loss 2.3648, time 47.11ms, mfu 0.03%
iter 380: loss 2.3558, time 47.23ms, mfu 0.03%
iter 381: loss 2.2484, time 47.15ms, mfu 0.03%
iter 382: loss 2.3953, time 47.18ms, mfu 0.03%
iter 383: loss 2.3884, time 47.28ms, mfu 0.03%
iter 384: loss 2.3066, time 51.06ms, mfu 0.03%
iter 385: loss 2.3309, time 43.76ms, mfu 0.03%
iter 386: loss 2.2979, time 47.16ms, mfu 0.03%
iter 387: loss 2.3666, time 47.05ms, mfu 0.03%
iter 388: loss 2.3231, time 47.51ms, mfu 0.03%
iter 389: loss 2.4162, time 50.61ms, mfu 0.03%
iter 390: loss 2.3292, time 59.40ms, mfu 0.03%
iter 391: loss 2.3237, time 47.13ms, mfu 0.03%
iter 392: loss 2.3062, time 47.41ms, mfu 0.03%
iter 393: loss 2.2792, time 63.20ms, mfu 0.03%
iter 394: loss 2.3147, time 47.12ms, mfu 0.03%
iter 395: loss 2.3165, time 47.11ms, mfu 0.03%
iter 396: loss 2.3848, time 47.23ms, mfu 0.03%
iter 397: loss 2.2567, time 47.26ms, mfu 0.03%
iter 398: loss 2.2593, time 47.19ms, mfu 0.03%
iter 399: loss 2.4497, time 47.42ms, mfu 0.03%
iter 400: loss 2.2894, time 47.33ms, mfu 0.03%
iter 401: loss 2.2887, time 47.51ms, mfu 0.03%
iter 402: loss 2.3041, time 47.25ms, mfu 0.03%
iter 403: loss 2.2772, time 47.14ms, mfu 0.03%
iter 404: loss 2.4335, time 47.26ms, mfu 0.03%
iter 405: loss 2.3358, time 47.04ms, mfu 0.03%
iter 406: loss 2.3411, time 47.35ms, mfu 0.03%
iter 407: loss 2.2967, time 47.08ms, mfu 0.03%
iter 408: loss 2.3048, time 47.35ms, mfu 0.03%
iter 409: loss 2.3340, time 62.90ms, mfu 0.03%
iter 410: loss 2.2253, time 55.56ms, mfu 0.03%
iter 411: loss 2.3955, time 49.47ms, mfu 0.03%
iter 412: loss 2.3627, time 38.44ms, mfu 0.03%
iter 413: loss 2.2435, time 47.47ms, mfu 0.03%
iter 414: loss 2.3843, time 47.01ms, mfu 0.03%
iter 415: loss 2.3613, time 62.85ms, mfu 0.03%
iter 416: loss 2.4007, time 47.08ms, mfu 0.03%
iter 417: loss 2.2779, time 47.30ms, mfu 0.03%
iter 418: loss 2.2727, time 47.09ms, mfu 0.03%
iter 419: loss 2.3566, time 47.68ms, mfu 0.03%
iter 420: loss 2.3311, time 62.81ms, mfu 0.03%
iter 421: loss 2.2978, time 47.28ms, mfu 0.03%
iter 422: loss 2.2798, time 47.28ms, mfu 0.03%
iter 423: loss 2.2602, time 47.69ms, mfu 0.03%
iter 424: loss 2.3256, time 47.30ms, mfu 0.03%
iter 425: loss 2.2984, time 47.51ms, mfu 0.03%
iter 426: loss 2.2084, time 47.44ms, mfu 0.03%
iter 427: loss 2.4114, time 47.23ms, mfu 0.03%
iter 428: loss 2.3234, time 31.50ms, mfu 0.03%
iter 429: loss 2.2015, time 47.66ms, mfu 0.03%
